Company,Type,Inches,RAM,Processor Name,Osys,MEMORY,TouchScreen,Graphic Card,KGs,X_RES,Y_RES,Price
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,256 GB SSD,No,No,1.8,1920,1080,34990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
DELL,Thin and Light Laptop,38 cm,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,35990
Lenovo,Thin and Light Laptop,36.62 cm,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.65,1920,1080,48450
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,38990
HP,Thin and Light Laptop,14 Inch,8 GB,AMD Ryzen 3 Quad Core,Windows 11 ,512 GB SSD,No,No,1.46,1920,1080,37880
Lenovo,Thin and Light Laptop,14 Inch,8 GB,Intel Celeron Dual Core,Windows 11 ,256 GB SSD,No,No,1.3,1366,768,25990
HP,Gaming Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,54990
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Athlon Dual Core,Windows 11 ,512 GB SSD,No,No,1.69,,,30990
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Dual Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,34990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,47990
ASUS,Thin and Light Laptop,14 inch,4 GB,Intel Celeron Dual Core,Windows 11 ,256 GB SSD,No,No,1.6,1366,768,25990
Lenovo,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,34604
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,41990
