,Product,Price,specifications
0,"ASUS Vivobook 15 Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312W Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg)",34990," &Laptop, Power Adaptor, User Guide, Warranty Documents&X515EA-EJ312W&90NB0TY2-M04LT0&X515EA-EJ312W&Vivobook 15&Transparent Silver&Thin and Light Laptop&Processing & Multitasking&2 cell&No&Intel&Core i3&11th Gen&Yes&256 GB&8 GB&DDR4&1115G4&1.7 GHz upto max turbo frequency at 4.1 Ghz&16&6&Intel Integrated UHD&2&2 TB&64 bit&Windows 11 Home&Windows 11 Home&Yes&1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A&1x HDMI 1.4 port&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&Full HD anti-glare, Brightness: 200 nits, Color Gamut: 45% NTSC&Built-in Speaker&Built-in Microphone&Wi-Fi 5(802.11ac)&v4.1&360 x 235 x 19.9 mm&1.80 kg&Not Available&VGA Webcam&Yes&Chiclet Keyboard with Num-key&No&Office Home and Student 2021&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
1,"Avita SATUS S111 Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-CS Laptop  (14.1 Inch, Cloud Silver)",16490," &Laptop, Power Adaptor, User Guide, Warranty Documents&NU14A1INC43PN-CS&NU14A1INC43PN-CS&SATUS ULTIMUS S111&SATUS S111&Cloud Silver&Laptop&Processing & Multitasking&Upto 8 Hours&No&Intel&Celeron Dual Core&Yes&128 GB&4 GB&DDR4&N4020&Intel Integrated UHD Graphics&64 bit&Windows 11 Home&Windows 11 Home&64&1 x USB 2.0, 1 x USB 3.0&1 x mini HDMI C Type&No&35.81 cm (14.1 Inch)&1920 x 1080 Pixels&FHD, IPS&Yes&Yes&802.11a/b/g/n&v4.0&Not Available&2 MP&1 Year Onsite Warranty&CARRY-IN&Manufacturing Defects and Battery & Adaptor warranty up to 6 months&Physical Damage&12 Months"
2,"DELL Inspiron Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (38 cm, Carbon Black, 1.8 kg, With MS Office)",35990," &Laptop, Battery, Adapter, Cables and User Manuals&Inspiron 3511&D560801WIN9B&Inspiron 3511&Inspiron&Carbon Black&Thin and Light Laptop&Everyday Use&Upto 7 hours&3 Cell&Yes&Intel&Core i3&11th Gen&Yes&512 GB&8 GB&DDR4&1115G4&Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz&2&16&3200 MHz&6 MB&Intel Integrated UHD&2&64 bit&Windows 11 Home&Windows 11 Home&64 bit&Yes&2 x USB 3.2 Gen1, 1 x USB 2.0&1 x HDMI 1.4&Yes&M.2 SATA&No&96.52 cm (38 cm)&1920 x 1080 Pixels&Full HD, WVAAG Narrow Border, Refresh Rate: 120 Hz, Brightness: 250 nits&Yes&Yes&Waves Maxx Audio Pro&WiFi 802.11ac 1x1&Yes&Available&358 x 235 x 18.9 mm&1.8 kg&Not Available&HD&Kensington Lock Port&McAfee&Standard Keyboard&No&Touchpad&Microsoft Office Home & Student 2021&1 Year Onsite Hardware Service&Onsite&Manufacturing Defects&Physical Damage&1 Year"
3,"Lenovo IdeaPad Slim 3 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop  (36.62 cm, Arctic Grey, 1.65 kg, With MS Office)",48450," &Laptop, Power Adaptor, User Guide, Warranty Documents&15ALC6&82R400BRIN&15ALC6&IdeaPad Slim 3 AMD&Arctic Grey&Thin and Light Laptop&Processing & Multitasking&Upto 11 hours&Yes&AMD&Ryzen 5 Hexa Core&Yes&512 GB&8 GB&DDR4&5500U&2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz&12&11&AMD Radeon AMD&6&NA&64 bit&Windows 11 Home&Windows 11 Home&Yes&1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)&1 x HDMI 1.4b&1 x card reader&No&93.01 cm (36.62 cm)&1920 x 1080 pixel&Full HD TN 250nits Anti-glare, 45% NTSC&Built-in Dual Speakers&Built-in array microphones&1.5W x 2, Dolby Audio&11ac, 2x2&v5.0&359.2 x 236.5 x 19.9 mm&1.65 kg&Not Available&720p with Privacy Shutter&No&Backlit, English&Yes&Office Home and Student 2021&2 Year warranty&Onsite&Manufacturer’s warranty against faulty workmanship or defective parts&(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty&2 Year"
4,"HP Laptop Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2717TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",38990," &Laptop, battery, adapter, cables and user manuals&15s-fq2717TU&7G6H3PA#ACJ&15s-fq2717TU&Laptop&Natural Silver&Thin and Light Laptop&Processing & Multitasking&Yes&Intel&Core i3&11th Gen&Yes&512 GB&8 GB&DDR4&1115G4&Base Frequency 1.70 Ghz, Max Turbo Boost Frequency Up to 4.10 GHz&Intel Integrated UHD&Windows 11 Home&Windows 11 Home&Yes&1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate&1 x HDMI 1.4b&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&Full HD, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC&Built-in Speakers&Yes&Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi&V5.0&358 x 242 x 17.9 mm&1.69 Kg&Not Available&HP True Vision 720p HD camera&Full-size, natural silver keyboard with numeric keypad&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage"
5,"HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop  (14 Inch, Natural Silver, 1.46 Kg kg, With MS Office)",37880," &Laptop, Power Adapter, User Guide, Warranty Documents&14s-fq1089au&50M59PA#ACJ&14s-fq1089au&Natural Silver&Thin and Light Laptop&Processing & Multitasking&Up to 9 hours and 45 minutes&65 W Smart AC power adapter&3&Yes&AMD&Ryzen 3 Quad Core&Yes&512 GB&8 GB&DDR4&5300U&AMD Integrated SoC&3.8&16&4&AMD Radeon Radeon Graphics&4&64 bit&Windows 11 Home&Windows 11 Home&64&Yes&1x SuperSpeed USB Type-C, 2x SuperSpeed USB Type-A&1x HDMI 1.4b&1x multi-format SD media card reader&PCIe NVMe&No&35.56 cm (14 Inch)&1920 x 1080 Pixels&FHD, IPS, micro-edge, BrightView, (Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC)&Built in dual speakers&Integrated dual array digital microphones&Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi&v4.2&324 x 225 x 17.9 mm&1.46 Kg kg&Not Available&HP True Vision 720p HD camera&Full-size, backlit, natural silver keyboard&Yes&HP Imagepad with multi-touch gesture support&41 Wh Li-ion&1 Year onsite warranty&Onsite&Manufacturing defects&Physical damage&1 Year"
6,"Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin and Light Laptop  (14 Inch, Cloud Grey, 1.3 Kg, With MS Office)",25990," &Laptop, User manual, Adapter&14IGL7&82V6006EIN&14IGL7&IdeaPad 1 Intel&Cloud Grey&Thin and Light Laptop&Processing & Multitasking&Upto 11 Hours&Yes&Intel&Celeron Dual Core&Yes&256 GB&8 GB&DDR4&N4020&Max Frequency Up to 2.8 GHz&8&Intel Integrated UHD&NA&Windows 11 Home&1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)&1 x HDMI 1.4b&No&35.56 cm (14 Inch)&1366 x 768 Pixel&HD, TN 220nits Anti-glare&Yes&Yes&11ac 2x2 +&v5.0&325.3 x 216.5 x 17.9 mm&1.3 Kg&Not Available&HD 720p with Privacy Shutter&No&Non-backlit, English&No&1 Year Onsite�Warranty�+ 1 Yr ADP&Carry-in&Manufacturing Defects&Physical Damage"
7,"HP Victus Gaming Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-fb0131AX Gaming Laptop  (15.6 Inch, Mica Silver, 2.37 Kg)",54990," &Laptop, battery, power adapter, user guide&15-fb0131AX&87B77PA#ACJ&15-fb0131AX&Victus Gaming&Mica Silver&Gaming Laptop&Gaming&3 Cell&No&GDDR6&4 GB&AMD&Ryzen 5 Hexa Core&Yes&512 GB&8 GB&DDR4&5600H&3.3GHz Upto max turbo frequency at 4.2 GHz&NVIDIA GeForce GTX 1650&Windows 11 Home&1 x USB Type-C 5Gbps signaling rate, 1 x USB Type-A 5Gbps signaling rate (HP Sleep and Charge), 1 x USB Type-A 5Gbps signaling rate&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&Full HD, Refresh Rate 144Hz, 9ms Response time, IPS, micro edge, Anti-glare, Brightness 250 Nits, 141 ppi, Color Gamut 45% NTSC&Yes&Yes&144 Hz&MediaTek Wi-Fi 6E MT7922 (2x2)&v5.3&2.37 Kg&Not Available&HP Wide Vision 720p HD camera&Full-size, backlit, mica silver keyboard with numeric keypad&Yes&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage"
8,"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",30990," &Laptop, battery, power adapter, user guide&15s-ey1509AU&832R0PA#ACJ&15s-ey1509AU&2023&Natural Silver&Thin and Light Laptop&Processing & Multitasking&3 Cell&Yes&AMD&Athlon Dual Core&Yes&512 GB&8 GB&DDR4&3050U&2.3 GHz with Turbo Boost Upto 3.2 GHz&AMD Radeon AMD&Windows 11 Home&1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate&No&39.62 cm (15.6 Inch)&1366 x 768 Pixel&HD, micro-edge, BrightView, Brightness: 250 nits, 101 ppi, Color Gamut: 45%NTSC&Yes&Yes&Realtek RTL8822CE 802.11a/b/g/n/ac (2x2)&v5.0&1.69 Kg&Not Available&HP True Vision 720p HD camera&Full-size, natural silver keyboard with numeric keypad&No&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
9,"HP 2023 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",34990," &Laptop, battery, power adapter, user guide&15s- eq1580AU&834S2PA#ACJ&15s- eq1580AU&2023&Natural Silver&Thin and Light Laptop&Processing & Multitasking&3 Cell&Yes&AMD&Ryzen 3 Dual Core&Yes&512 GB&8 GB&DDR4&3250U&2.60 GHz up to 3.50 GHz&AMD Radeon AMD&Windows 11 Home&1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&Full HD, micro-edge,anti-glare, Brightness: 220 nits, 141 ppi, Color Gamut: 45%NTSC&Yes&Yes&Realtek RTL8821CE 802.11b/g/n/ac (2x2)&v5.0&1.69 Kg&Not Available&HP True Vision 720p HD Camera&Full-size island-style Natural Silver keyboard with numeric keypad&No&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage"
